Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
BDI,Burundi,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0.01,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,1.23342,2.11582,1.46329,1.13405,0.957118,2.27056,1.92157,2.36261,2.72827,4.13845,5.96442,10.0203,8.86756,10.4714,4.70046,5.66797,6.36015,6.30601,6.16764,5.97099,5.70579,5.17018,5.06516,5.0795,4.93138,4.81647,4.69933,4.58478,4.45629,4.30781,4.154,4.00798,3.90373,3.81349
BDI,Burundi,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),0.02,0.04,0.03,0.02,0.02,0.04,0.04,0.05,0.05,0.09,0.125623,0.222151,0.203446,0.251998,0.117424,0.148513,0.173634,0.179326,0.183843,0.186348,0.170948,0.154127,0.150996,0.151575,0.153777,0.157403,0.161253,0.165661,0.169552,0.172589,0.176243,0.181089,0.187273,0.194257
BEL,Belgium,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0.113148,0.04,0.148742,0.193179,0.197431,0.288065,0.09,0,0.253869,0.371653,0.378413,0.378634,0.392065,0.408648,0.4252,0.429318,0.441071,0.451158,0.45636,0.459559,0.458248,0.458017,0.462537,0.471176,0.47955,0.487342,0.495061,0.503147,0.511727,0.520378,0.533297,0.542934,0.550439,0.558829
BEL,Belgium,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,0.266394,0.1,0.332252,0.420423,0.410176,0.578979,0.177483,0.01,0.449466,0.634108,0.6292,0.595689,0.610765,0.604862,0.602374,0.597811,0.593239,0.588318,0.594345,0.592981,0.591432,0.594037,0.594037,0.594037,0.594037,0.594037,0.594037,0.594037,0.594037,0.594037,0.594037,0.594037,0.594037,0.594037
BEL,Belgium,24674,Capital investment in Travel and Tourism,US$ in bn (Real prices),3.0917,2.47576,1.4704,2.67068,2.54143,3.1617,2.39162,1.82803,1.63145,1.88293,3.24034,2.33736,2.04424,1.75137,1.90935,2.64323,2.53346,2.53819,2.75912,2.55485,2.58209,2.58924,2.62254,2.7368,2.83176,2.91175,2.99171,3.07081,3.14435,3.21501,3.29188,3.3873,3.4576,3.52902
BEL,Belgium,24693,Travel and Tourism total contribution to GDP,Percentage share of total GDP,5.91065,5.94302,5.7091,6.17948,6.59312,8.58117,7.74635,6.39775,6.25773,6.48969,6.35641,5.80048,5.556,5.34267,5.45385,5.59202,5.42734,5.72549,5.92331,5.84428,5.83964,5.67463,5.61732,5.57865,5.58702,5.6088,5.66906,5.71924,5.77319,5.83314,5.90896,6.049,6.1205,6.19194
BEL,Belgium,24695,Travel and Tourism total contribution to GDP,US$ in bn (Real prices),20.0758,20.5066,20.4316,22.5509,24.9187,33.6128,30.5857,25.7114,25.3435,27.2382,27.2392,25.48,25.2458,24.4651,24.4133,25.7197,25.41,26.8684,27.8529,27.8528,28.2217,27.8267,28.0203,28.2575,28.7555,29.3248,30.1049,30.847,31.6198,32.4358,33.3588,34.6609,35.5922,36.5437
BEN,Benin,24661,Government spending on travel and Tourism service,US$ in bn (Real prices),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BEN,Benin,24663,Government spending on travel and Tourism service,% share of total tourism expenditure,2.74331,2.88604,2.95517,2.96802,2.84214,2.85852,2.86964,2.91191,2.95729,2.99747,3.03502,3.04287,3.04521,3.05924,3.07009,3.08275,3.09568,3.1088,3.1239,3.1394,3.15498,3.17063,3.18637,3.20219,3.21808,3.23405,3.2501,3.26623,3.28244,3.29873,3.3151,3.33155,3.34809,3.36471
