T16,Exchange rates,,,,,,,
Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
24,Angola,2018,Exchange rates: period average (national currency per US dollar),Kwanza (AOA),,252.8557,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,1985,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,1995,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2005,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2010,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2015,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2016,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2017,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2018,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,1985,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,1995,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2005,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2010,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2015,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2016,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2017,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
660,Anguilla,2018,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,1985,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,1995,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,2005,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,2010,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,2015,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,2016,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,2017,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,2018,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,1985,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,1995,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,2005,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,2010,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
28,Antigua and Barbuda,2015,Exchange rates: period average (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7000,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed June 2019."
