T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
17,Middle Africa,2015,Balance imports/exports (millions of US dollars),,,19070.5507,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2016,Balance imports/exports (millions of US dollars),,,14659.3907,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2017,Balance imports/exports (millions of US dollars),,,19465.2277,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
17,Middle Africa,2018,Balance imports/exports (millions of US dollars),,,18898.0656,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,1995,Imports CIF (millions of US dollars),,,26744.5469,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2005,Imports CIF (millions of US dollars),,,63786.4506,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2010,Imports CIF (millions of US dollars),,,97723.0594,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2015,Imports CIF (millions of US dollars),,,103706.9570,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2016,Imports CIF (millions of US dollars),,,90115.2257,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2017,Imports CIF (millions of US dollars),,,98766.9805,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2018,Imports CIF (millions of US dollars),,,111531.2340,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,1995,Exports FOB (millions of US dollars),,,28214.1402,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2005,Exports FOB (millions of US dollars),,,56075.8975,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2010,Exports FOB (millions of US dollars),,,95232.4693,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2015,Exports FOB (millions of US dollars),,,93563.1377,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2016,Exports FOB (millions of US dollars),,,88325.3349,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2017,Exports FOB (millions of US dollars),,,101870.1976,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2018,Exports FOB (millions of US dollars),,,108471.4807,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,1995,Balance imports/exports (millions of US dollars),,,1469.5933,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2005,Balance imports/exports (millions of US dollars),,,-7710.5531,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2010,Balance imports/exports (millions of US dollars),,,-2490.5902,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2015,Balance imports/exports (millions of US dollars),,,-10143.8193,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2016,Balance imports/exports (millions of US dollars),,,-1789.8907,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
18,Southern Africa,2017,Balance imports/exports (millions of US dollars),,,3103.2171,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed May 2019."
