T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
32,Argentina,2010,Balance of Payments: Current account (millions of US dollars),"-1,622.9959",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2016,Balance of Payments: Current account (millions of US dollars),"-15,104.7865",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2017,Balance of Payments: Current account (millions of US dollars),"-31,597.8688",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2018,Balance of Payments: Current account (millions of US dollars),"-28,002.6094",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,1995,Balance of Payments: Capital account (millions of US dollars),14.2000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2005,Balance of Payments: Capital account (millions of US dollars),88.9000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2010,Balance of Payments: Capital account (millions of US dollars),78.4779,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2016,Balance of Payments: Capital account (millions of US dollars),365.8146,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2017,Balance of Payments: Capital account (millions of US dollars),138.7167,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2018,Balance of Payments: Capital account (millions of US dollars),85.7239,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,1985,Balance of Payments: Financial account (millions of US dollars),"-1,483.7609",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,1995,Balance of Payments: Financial account (millions of US dollars),"-7,777.4406",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2005,Balance of Payments: Financial account (millions of US dollars),"5,698.9269",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2010,Balance of Payments: Financial account (millions of US dollars),"-3,802.7206",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2016,Balance of Payments: Financial account (millions of US dollars),"-13,950.5819",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2017,Balance of Payments: Financial account (millions of US dollars),"-31,296.8150",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
32,Argentina,2018,Balance of Payments: Financial account (millions of US dollars),"-28,479.9719",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,1995,Balance of Payments: Current account (millions of US dollars),-220.6770,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2005,Balance of Payments: Current account (millions of US dollars),-123.8998,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2010,Balance of Payments: Current account (millions of US dollars),"-1,261.4313",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2016,Balance of Payments: Current account (millions of US dollars),-238.1213,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2017,Balance of Payments: Current account (millions of US dollars),-279.6738,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2018,Balance of Payments: Current account (millions of US dollars),"-1,130.5758",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,1995,Balance of Payments: Capital account (millions of US dollars),8.0500,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2005,Balance of Payments: Capital account (millions of US dollars),84.0005,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2010,Balance of Payments: Capital account (millions of US dollars),98.8612,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2016,Balance of Payments: Capital account (millions of US dollars),34.8704,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2017,Balance of Payments: Capital account (millions of US dollars),46.3083,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2018,Balance of Payments: Capital account (millions of US dollars),67.5531,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,1995,Balance of Payments: Financial account (millions of US dollars),-197.9543,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2005,Balance of Payments: Financial account (millions of US dollars),-203.3750,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2010,Balance of Payments: Financial account (millions of US dollars),"-1,317.9548",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2016,Balance of Payments: Financial account (millions of US dollars),-428.6473,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2017,Balance of Payments: Financial account (millions of US dollars),-541.5927,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
51,Armenia,2018,Balance of Payments: Financial account (millions of US dollars),-686.9732,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,1995,Balance of Payments: Current account (millions of US dollars),-0.2793,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,2005,Balance of Payments: Current account (millions of US dollars),104.9635,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,2010,Balance of Payments: Current account (millions of US dollars),-460.1117,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,2016,Balance of Payments: Current account (millions of US dollars),141.0695,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,1995,Balance of Payments: Capital account (millions of US dollars),0.0000,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,2005,Balance of Payments: Capital account (millions of US dollars),15.9823,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,2010,Balance of Payments: Capital account (millions of US dollars),3.5196,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,2016,Balance of Payments: Capital account (millions of US dollars),7.6058,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,1995,Balance of Payments: Financial account (millions of US dollars),1.1732,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,2005,Balance of Payments: Financial account (millions of US dollars),147.6571,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,2010,Balance of Payments: Financial account (millions of US dollars),-445.6425,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
533,Aruba,2016,Balance of Payments: Financial account (millions of US dollars),133.0472,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
36,Australia,1995,Balance of Payments: Current account (millions of US dollars),"-18,669.2384",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
36,Australia,2005,Balance of Payments: Current account (millions of US dollars),"-43,342.9433",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
36,Australia,2010,Balance of Payments: Current account (millions of US dollars),"-44,714.2461",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
36,Australia,2016,Balance of Payments: Current account (millions of US dollars),"-41,196.6216",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
36,Australia,2017,Balance of Payments: Current account (millions of US dollars),"-35,757.9105",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2019."
